,date,tencent,ali,sum_13
0,20210821 00,50601,70475,261186
1,20210821 01,40324,54107,208575
2,20210821 02,32091,40755,165024
3,20210821 03,25423,32537,133388
4,20210821 04,22991,29329,125615
5,20210821 05,24515,30699,127901
6,20210821 06,31626,40808,162184
7,20210821 07,41283,52570,202119
8,20210821 08,56375,72641,276655
9,20210821 09,70849,96506,354837
10,20210821 10,76900,108235,392491
11,20210821 11,79058,112355,401184
12,20210821 12,77366,112812,398330
13,20210821 13,76522,108074,391259
14,20210821 14,76821,111233,399077
15,20210821 15,79754,113334,407793
16,20210821 16,77951,112798,401612
17,20210821 17,75331,107280,379537
18,20210821 18,74477,108961,382745
19,20210821 19,74653,108413,385954
20,20210821 20,75124,108690,386449
21,20210821 21,70239,105868,368682
22,20210821 22,61531,89391,316558
23,20210821 23,55454,83018,294367
24,20210822 00,50486,72114,261968
25,20210822 01,39859,55188,209341
26,20210822 02,31270,42236,166817
27,20210822 03,26130,34195,140317
28,20210822 04,21403,28544,124063
29,20210822 05,23310,30176,130297
30,20210822 06,29717,38279,153360
31,20210822 07,38528,51077,196244
32,20210822 08,54808,71821,270378
33,20210822 09,67154,93846,342150
34,20210822 10,74463,108404,387283
35,20210822 11,76295,110628,389734
36,20210822 12,76271,112229,389492
37,20210822 13,74966,108111,387374
38,20210822 14,78776,111890,406392
39,20210822 15,79180,117117,416989
40,20210822 16,79512,114261,407517
41,20210822 17,74596,109615,384174
42,20210822 18,75003,110488,384991
43,20210822 19,74382,110019,385200
44,20210822 20,73648,111305,387223
45,20210822 21,72169,106170,376086
46,20210822 22,63704,93030,329079
47,20210822 23,55295,83833,296864
48,20210823 00,48794,69252,255745
49,20210823 01,36291,50728,197052
50,20210823 02,28371,39328,156458
51,20210823 03,24146,32433,133576
52,20210823 04,21143,28934,122910
53,20210823 05,22176,30457,123378
54,20210823 06,29882,41202,158375
55,20210823 07,44273,60535,224961
56,20210823 08,70590,93860,343510
57,20210823 09,89776,126605,454726
58,20210823 10,94344,140645,488114
59,20210823 11,92848,136542,474945
60,20210823 12,93793,135289,474765
61,20210823 13,93780,135031,482939
62,20210823 14,96578,137839,495478
63,20210823 15,95761,140768,494977
64,20210823 16,92919,134904,479730
65,20210823 17,83594,121589,424366
66,20210823 18,83113,119956,420603
67,20210823 19,81294,119214,422786
68,20210823 20,80666,118382,417750
69,20210823 21,75417,110705,389657
70,20210823 22,64855,94514,333708
71,20210823 23,57932,83452,299275
72,20210824 00,51127,71689,263219
73,20210824 01,39178,52694,206376
74,20210824 02,30000,39528,163304
75,20210824 03,25349,32088,136885
76,20210824 04,23505,29492,127158
77,20210824 05,25233,31967,136921
78,20210824 06,30803,40438,166641
79,20210824 07,46954,60793,230405
80,20210824 08,72871,95296,352235
81,20210824 09,91309,128294,456527
82,20210824 10,96287,139216,490037
83,20210824 11,92200,135041,468703
84,20210824 12,92692,133461,467423
85,20210824 13,93535,134401,478296
86,20210824 14,96225,141636,494155
87,20210824 15,98987,141974,504346
88,20210824 16,93962,138520,484315
89,20210824 17,84203,121898,427783
90,20210824 18,81684,120369,423559
91,20210824 19,82277,124210,433103
92,20210824 20,80459,121389,421241
93,20210824 21,76059,114187,397819
94,20210824 22,65576,97683,343935
95,20210824 23,58888,87427,306147
96,20210825 00,51914,74702,265724
97,20210825 01,37748,53632,203390
98,20210825 02,31083,41774,165090
99,20210825 03,24817,32528,136265
100,20210825 04,21270,28421,119800
101,20210825 05,22852,31007,128069
102,20210825 06,32001,43172,169234
103,20210825 07,48733,64008,240377
104,20210825 08,76128,102271,378432
105,20210825 09,89127,124490,458576
106,20210825 10,96446,140009,497892
107,20210825 11,93962,135399,477977
108,20210825 12,93511,134724,478884
109,20210825 13,94702,135130,485821
110,20210825 14,95556,138331,495301
111,20210825 15,97799,144366,511448
112,20210825 16,92780,136079,483397
113,20210825 17,85278,120991,427410
114,20210825 18,82813,123679,423552
